Proyecciones de población por comuna y sexo. Ciudad de Buenos Aires. Años 2010/2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Ambos sexos,,,,,,,,,,,,
Comuna,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Total,3028481.0,3033639.0,3038860.0,3044076.0,3049229.0,3054267.0,3059122.0,3063728.0,3068043.0,3072029.0,3075646.0,3078836.0
1,243946.0,245308.0,246689.0,248069.0,249433.0,250770.0,252053.0,253271.0,254408.0,255457.0,256405.0,257235.0
2,150714.0,150573.0,150428.0,150278.0,150130.0,149985.0,149848.0,149720.0,149607.0,149510.0,149430.0,149371.0
3,191323.0,191536.0,191750.0,191963.0,192171.0,192375.0,192573.0,192763.0,192945.0,193115.0,193276.0,193425.0
4,234933.0,235497.0,236071.0,236646.0,237214.0,237769.0,238303.0,238809.0,239279.0,239712.0,240100.0,240437.0
5,185301.0,185544.0,185789.0,186034.0,186276.0,186512.0,186740.0,186956.0,187159.0,187348.0,187518.0,187670.0
6,183046.0,183309.0,183576.0,183843.0,184105.0,184363.0,184611.0,184846.0,185067.0,185271.0,185456.0,185620.0
7,236838.0,237389.0,237946.0,238505.0,239057.0,239597.0,240116.0,240607.0,241065.0,241484.0,241861.0,242188.0
8,219638.0,220655.0,221693.0,222733.0,223764.0,224770.0,225737.0,226649.0,227495.0,228266.0,228953.0,229541.0
9,168681.0,168964.0,169248.0,169533.0,169814.0,170087.0,170353.0,170605.0,170842.0,171062.0,171264.0,171444.0
10,169372.0,169506.0,169640.0,169775.0,169908.0,170037.0,170163.0,170282.0,170394.0,170497.0,170592.0,170677.0
11,189760.0,189795.0,189829.0,189861.0,189893.0,189925.0,189956.0,189986.0,190016.0,190046.0,190076.0,190105.0
12,211320.0,211699.0,212082.0,212467.0,212846.0,213218.0,213576.0,213914.0,214229.0,214518.0,214777.0,215002.0
13,234846.0,235011.0,235178.0,235342.0,235506.0,235666.0,235819.0,235967.0,236107.0,236238.0,236358.0,236468.0
