Proyecciones de población por comuna y sexo. Ciudad de Buenos Aires. Años 2010/2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Comuna,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Total,1622915.0,1623804.0,1624755.0,1625737.0,1626722.0,1627685.0,1628591.0,1629405.0,1630107.0,1630679.0,1631101.0,1631341.0
1,126324.0,126588.0,126870.0,127162.0,127454.0,127740.0,128008.0,128250.0,128458.0,128629.0,128754.0,128825.0
2,83554.0,83463.0,83367.0,83267.0,83167.0,83070.0,82978.0,82895.0,82824.0,82766.0,82723.0,82699.0
3,101950.0,101951.0,101953.0,101955.0,101956.0,101958.0,101959.0,101961.0,101963.0,101964.0,101966.0,101968.0
4,123977.0,124103.0,124239.0,124379.0,124519.0,124656.0,124785.0,124901.0,125001.0,125083.0,125143.0,125177.0
5,100858.0,100896.0,100936.0,100978.0,101020.0,101061.0,101100.0,101134.0,101164.0,101189.0,101206.0,101217.0
6,100265.0,100308.0,100355.0,100403.0,100451.0,100498.0,100543.0,100583.0,100617.0,100645.0,100666.0,100678.0
7,126798.0,126923.0,127055.0,127192.0,127329.0,127463.0,127589.0,127702.0,127800.0,127879.0,127938.0,127971.0
8,116809.0,117079.0,117369.0,117668.0,117969.0,118262.0,118538.0,118786.0,118999.0,119173.0,119300.0,119372.0
9,88081.0,88117.0,88154.0,88194.0,88233.0,88271.0,88308.0,88340.0,88368.0,88391.0,88408.0,88417.0
10,90356.0,90375.0,90395.0,90415.0,90436.0,90456.0,90475.0,90492.0,90507.0,90518.0,90527.0,90532.0
11,100441.0,100428.0,100414.0,100399.0,100384.0,100370.0,100357.0,100345.0,100334.0,100326.0,100320.0,100316.0
12,113597.0,113683.0,113774.0,113869.0,113963.0,114056.0,114143.0,114222.0,114289.0,114344.0,114385.0,114408.0
13,128266.0,128277.0,128289.0,128300.0,128313.0,128325.0,128335.0,128346.0,128355.0,128362.0,128367.0,128370.0
