Proyecciones de población por comuna y sexo. Ciudad de Buenos Aires. Años 2010/2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Comuna,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Total,1405566.0,1409835.0,1414105.0,1418339.0,1422507.0,1426582.0,1430531.0,1434323.0,1437936.0,1441350.0,1444545.0,1447495.0
1,117622.0,118720.0,119819.0,120907.0,121979.0,123030.0,124045.0,125021.0,125950.0,126828.0,127651.0,128410.0
2,67160.0,67110.0,67061.0,67011.0,66963.0,66915.0,66870.0,66825.0,66783.0,66744.0,66707.0,66672.0
3,89373.0,89585.0,89797.0,90008.0,90215.0,90417.0,90614.0,90802.0,90982.0,91151.0,91310.0,91457.0
4,110956.0,111394.0,111832.0,112267.0,112695.0,113113.0,113518.0,113908.0,114278.0,114629.0,114957.0,115260.0
5,84443.0,84648.0,84853.0,85056.0,85256.0,85451.0,85640.0,85822.0,85995.0,86159.0,86312.0,86453.0
6,82781.0,83001.0,83221.0,83440.0,83654.0,83865.0,84068.0,84263.0,84450.0,84626.0,84790.0,84942.0
7,110040.0,110466.0,110891.0,111313.0,111728.0,112134.0,112527.0,112905.0,113265.0,113605.0,113923.0,114217.0
8,102829.0,103576.0,104324.0,105065.0,105795.0,106508.0,107199.0,107863.0,108496.0,109093.0,109653.0,110169.0
9,80600.0,80847.0,81094.0,81339.0,81581.0,81816.0,82045.0,82265.0,82474.0,82671.0,82856.0,83027.0
10,79016.0,79131.0,79245.0,79360.0,79472.0,79581.0,79688.0,79790.0,79887.0,79979.0,80065.0,80145.0
11,89319.0,89367.0,89415.0,89462.0,89509.0,89555.0,89599.0,89641.0,89682.0,89720.0,89756.0,89789.0
12,97723.0,98016.0,98308.0,98598.0,98883.0,99162.0,99433.0,99692.0,99940.0,100174.0,100392.0,100594.0
13,106580.0,106734.0,106889.0,107042.0,107193.0,107341.0,107484.0,107621.0,107752.0,107876.0,107991.0,108098.0
